,AGED_logFC,AGED_FDR_p,APP_logFC,APP_FDR_p,ERCC1_logFC,ERCC1_FDR_p,SOD1_logFC,SOD1_FDR_p,LPS_LogFC,LPS_FDR_P
EHD1,0.017045979,0.843098766,0.851184831,0.03984199,0.095822209,0.178927183,1.250301112,0.50522864,0.069996292,0.397597435
LRRC4C,0.017438718,0.940880931,-0.002315508,0.991043539,-0.058167943,0.630763525,1.511326306,0.50522864,0.095782696,0.203035441
OLFR1463,0.000225958,0.997898876,0.047970651,0.714906838,-0.072445331,0.691029861,3.701077015,0.505246676,-0.030296746,0.708357144
FTSJ2,0.128114986,0.570300848,-0.169351312,0.065237794,0.157401648,0.439531696,1.370456512,0.505431469,-0.066296115,0.844104436
GMFB,0.028076587,0.92111982,-0.138670998,0.113582981,-0.027555281,0.922012986,0.575488245,0.506033769,0.161930924,0.144246033
ARIH2,-0.178978758,0.296874399,0.614909542,0.002005448,0.013700867,0.957211125,0.678875138,0.506054536,0.404655947,0.003546446
PLXNA4,-0.017140454,0.773111729,-0.624189042,0.001897967,-0.176989147,0.141343527,-0.586078922,0.506054536,-0.087994513,0.45908486
PERP,0.372858622,0.35558495,1.777497649,1.51E-07,-0.134996943,0.411974904,1.564310388,0.506330187,-0.020898452,0.791318749
FGF9,-0.111982888,0.483872969,-0.048945522,0.644746461,0.01185509,0.952436117,-0.49992962,0.506334408,-0.027894419,0.747285609
CMAS,0.156969389,0.431914672,0.028949023,0.902541781,-0.055918333,0.689667493,0.655233003,0.506410548,-0.184049643,0.130140828
PQLC2,0.039610993,0.778967382,0.278378451,0.137823241,0.107450797,0.298646514,0.99921526,0.506410548,-0.044481706,0.754628628
CCDC88C,0.003726527,0.950994412,-0.043937876,0.900627699,-0.016608096,0.842321078,1.310037579,0.506952219,0.043135175,0.523244973
FERT2,-0.186020195,0.000580886,-0.485764545,0.000212912,-0.103828374,0.351343989,-0.615792137,0.506952219,0.083635552,0.530370118
BDNF,0.047072792,0.538229724,0.045064553,0.921394453,0.004552875,0.979666793,1.267603863,0.506958514,-0.046138527,0.60981702
IL10RA,-0.273664772,0.112024376,-0.079658972,0.62864854,-0.108550985,0.474478664,-0.549732551,0.506958514,-0.32901287,0.025121525
SGK2,0.091491598,0.5420145,0.036413921,0.829821994,0.057510474,0.861513901,0.945641699,0.506958514,0.035785389,0.886508521
TMCO6,-0.322149965,0.054562311,0.201678196,0.031727633,-0.112413535,0.441890265,-0.716901479,0.506958514,-0.26216166,0.302112483
OLFR348,0.006335376,0.929420104,-0.008586863,0.95098559,-0.01196978,0.868388612,1.535855026,0.507249337,0.055149999,0.417237525
GTF3C4,-0.127412912,0.240636168,0.588105321,0.004673903,-0.081169206,0.72881474,0.64288906,0.507488899,-0.059977003,0.751625846
DKKL1,0.100081882,0.646204141,0.052705097,0.90376645,-0.052436861,0.881020578,4.441443432,0.507589931,-0.149883415,0.402971805
TMEM9B,0.03610338,0.772776392,-0.191196516,0.095223562,0.383459273,0.063781711,0.797651169,0.507589931,0.093333183,0.739307258
NUP85,-0.068351024,0.804383435,-0.127215749,0.251083026,0.048461249,0.835138107,-0.763693711,0.507833684,-0.004416014,0.984069466
CDC14A,-0.000525345,0.99195789,-0.097098776,0.701430643,0.05869483,0.848674761,-0.585278758,0.507873402,0.457879321,0.12707907
DAP3,-0.20946668,0.194029023,0.142101036,0.162861158,-0.034164432,0.899421558,0.745582137,0.507873402,-0.045278491,0.789683761
DEDD,-0.197343813,0.055399524,-0.047459151,0.761070111,-0.139797067,0.337894735,-0.6658808,0.507873402,0.261172199,0.003189787
HIST3H2A,-0.317320397,0.018529413,-0.245152333,0.119384563,-0.163345137,0.543940286,-0.748142698,0.507873402,-1.492809781,3.83E-05
LIFR,-0.013067179,0.822475226,-0.396740781,0.049370268,-0.106913146,0.859232476,-0.499885236,0.507873402,0.436238209,0.053271786
MED16,0.001549628,0.990666112,-0.726988297,0.010260208,0.020763866,0.748016308,-0.431715622,0.507873402,0.029746954,0.729751892
OLFR1408,-0.007280949,0.924448327,0.248862788,0.044277125,-0.073506193,0.560747964,-2.20295215,0.507873402,0.023773846,0.802273032
ZFP40,0.020178317,0.919891773,-0.099559275,0.823925645,-0.071336737,0.442102172,-0.794136114,0.507873402,-0.062990411,0.402370788
CREM,0.041521946,0.807318314,1.416842623,2.97E-06,0.058554362,0.861003703,0.912517328,0.507896829,1.296177635,1.58E-06
LRRK1,-0.005812034,0.975651951,-0.393184466,0.000744213,-0.08069275,0.667077485,-0.603545094,0.508060567,-0.214833,0.319412287
OLFML3,-0.202397067,0.032140252,-0.507687595,0.000449788,-0.100906267,0.80594526,-0.6123985,0.508275121,-0.658295932,1.62E-07
C1QB,0.090989409,0.738762354,-0.28776776,0.005388098,0.27312138,0.000335081,0.793901692,0.5089612,0.103592684,0.266519051
CRYGD,-0.000223192,0.9974163,0.034304673,0.946998882,-0.009487688,0.974689205,3.100565078,0.5089612,0.003753544,0.971357648
CYP24A1,0.077887433,0.601471521,-0.038881865,0.709649422,-0.062053463,0.7027437,4.221738302,0.5089612,-0.048740965,0.801030559
GJE1,0.288046209,0.388496783,-0.045509045,0.653435306,-0.138141455,0.559572253,-0.45525395,0.5089612,-0.073603223,0.750056631
GMIP,-0.020080461,0.931364682,-0.345425988,0.000982126,-0.021749212,0.940271788,-0.538237363,0.5089612,0.23891028,0.147731436
GRSF1,0.056438596,0.466832611,0.26926242,0.014648163,0.030602222,0.876319295,0.625367641,0.5089612,-0.31133629,0.000987621
GTPBP3,-0.006325296,0.96476971,0.044459214,0.744532647,-0.149862986,0.505190427,-0.524395372,0.5089612,-0.177003459,0.369941838
IGF2,0.415484987,0.326143555,0.039669376,0.744434781,-0.007676235,0.954030132,-0.524378405,0.5089612,-0.103629587,0.14350231
LIN9,0.028986999,0.697278662,0.027485072,0.945172237,0.015119451,0.898268943,0.671020005,0.5089612,0.023825789,0.674128626
LY6A,0.606104145,0.014619545,0.048028465,0.921394453,0.368556104,0.007552846,-1.199335331,0.5089612,0.24566699,0.148027581
MSLN,0.066306925,0.333893884,0.029247786,0.707395317,-0.027930375,0.920768199,3.723198856,0.5089612,0.139167436,0.336030735
NME4,0.087626926,0.679769445,-0.376092797,0.009210767,-0.046742509,0.850030175,2.565364019,0.5089612,-0.21307866,0.096915992
OLFR1019,-0.01051609,0.900568248,0.008735103,0.944391156,-0.007426708,0.945732884,-2.344396072,0.5089612,-0.050082217,0.663503777
OLFR374,-0.001335104,0.977782942,-0.006958366,0.963894681,-0.230230225,0.175454716,3.571838442,0.5089612,0.133193419,0.375034787
PLA2G1B,0.008966788,0.947502542,-0.012847108,0.936921515,-0.073356404,0.670465834,3.169799051,0.5089612,-0.007741954,0.936069762
PTPRN,0.007610816,0.892647115,-0.084613734,0.470289725,-0.058667919,0.472446049,1.163842763,0.5089612,-0.001999674,0.980539545
RRN3,0.070667415,0.543347952,-0.012440093,0.942118883,-0.154449639,0.482751955,0.595767461,0.5089612,0.843189817,0.00064205
SLC34A3,0.031494106,0.84373786,-0.028710108,0.815427087,0.062584645,0.7124491,-2.742645739,0.5089612,-0.207322327,0.26978739
SLC35E3,-0.246563873,0.010648282,-0.113322609,0.314291411,-0.36837228,0.000289465,-0.847371497,0.5089612,-1.013190013,1.75E-06
TRAPPC2,0.141795499,0.39248486,-0.112269741,0.569617137,0.041389997,0.913786577,1.249972395,0.5089612,-0.044230179,0.84966389
ARRDC3,-0.277064593,0.285747554,-0.006651972,0.982721682,-0.206384408,0.445808741,-0.593143607,0.509207562,-1.267323253,1.09E-07
HELLS,0.08139448,0.231364275,-0.034064164,0.731921845,0.022286251,0.882245224,0.977544072,0.509294926,0.033607151,0.7483628
POMC,-0.032091143,0.655963798,0.397882328,0.074808635,-0.038472106,0.67200812,1.096286374,0.509361377,0.096480587,0.520593087
EDF1,-0.102289425,0.495067531,-0.080310483,0.389831054,0.106459547,0.554852974,0.838650401,0.509436457,-0.126589195,0.314160907
EFHD2,0.061675812,0.67382547,-0.183558338,0.136268627,0.106060484,0.761510934,0.698293604,0.509979417,0.543842734,0.045188844
RASL2-9,-0.055177783,0.88933433,-0.049840387,0.761016718,-0.145593375,0.452179078,-1.104529341,0.510110929,-1.008555488,7.32E-06
BRD1,0.007282937,0.991018796,-0.130896387,0.156356286,-0.034395888,0.926562997,-0.565781134,0.510740651,-0.067961435,0.791365023
DHX37,-0.068562806,0.69672245,-0.043599501,0.866400774,-0.062197206,0.588502445,-0.598808654,0.510740651,-0.021105294,0.904279799
DIDO1,-0.275441983,0.192555422,-0.45331823,0.000784045,-0.212103662,0.168069588,-0.535445201,0.510740651,-0.12689695,0.398755513
METTL6,-0.138776455,0.450409544,0.043796575,0.789551956,-0.072224477,0.737437558,0.647212785,0.510740651,0.474829277,0.016036988
PLXNB1,0.024616995,0.90947213,-0.020886146,0.901257255,-0.008661235,0.970440631,1.123297801,0.510740651,-0.047447917,0.721903395
TGOLN1,0.127680946,0.665546384,0.200175839,0.055014069,0.027967138,0.911640122,0.562380624,0.510740651,0.128459792,0.423856224
LRG1,0.263648448,0.149876392,-0.293261109,0.695694289,0.089973188,0.734352947,3.763578209,0.511126698,0.908635225,0.000113163
UBQLN4,-0.31262333,0.087905265,0.066712416,0.605575943,-0.197781198,0.241804482,-0.69523797,0.511473384,0.030795562,0.879655857
PIK3CD,-0.23057714,0.431169662,-0.538058671,0.051227838,0.09508196,0.629813238,-0.600213668,0.511598383,-0.214368502,0.052969279
PAPSS2,0.036282872,0.374545796,-0.213674984,0.203975371,0.044645696,0.726926063,0.471252686,0.511813343,0.034554996,0.648283464
GUCY1A2,0.079638261,0.475537022,-0.028365367,0.774682982,0.026855255,0.94606848,-0.492830921,0.512771982,-0.046231665,0.868019204
RUNX2,-0.015815355,0.773105405,-4.91E-05,0.999945257,0.061146512,0.396281962,-0.40775138,0.512771982,0.003334329,0.97085666
DGKI,-0.048017208,0.818344652,-0.012317014,0.933667068,0.14395046,0.577581844,-0.950545711,0.512799606,-0.117069459,0.621270943
NDST1,0.052318114,0.894347057,-0.19573523,0.177150663,0.263146203,0.496167703,0.695054911,0.512799606,0.287920838,0.018953913
NDUFB6,0.413444084,0.157682233,0.228322202,0.109253726,0.196638138,0.127307899,1.024443759,0.512799606,0.061941189,0.78853351
NSL1,0.010400535,0.814734396,-0.384676173,0.002884113,0.024384147,0.791423223,-0.468824884,0.512799606,-0.158288736,0.050660994
OLFR372,-0.048311816,0.41628131,-0.034229794,0.9316934,-0.010982066,0.94248754,2.52408734,0.512799606,0.061624247,0.306276446
SFT2D2,-0.046006635,0.516812161,-0.517579467,8.20E-05,-0.298878097,0.003901917,-0.531418711,0.512799606,-1.060754423,2.15E-08
SIPA1L1,0.014232502,0.961074857,-0.15873497,0.226645323,-0.269283342,0.191429588,0.787869355,0.512799606,-0.356729959,0.030313461
SMS,-0.106066063,0.411048339,0.290954643,0.038903318,0.075189433,0.754700661,0.658795612,0.512799606,0.038854378,0.715089035
SYT6,0.006653956,0.944448298,-0.094579098,0.540512759,0.011609292,0.93713793,-1.184822101,0.512799606,0.054672884,0.669319631
TLN1,-0.103873748,0.033034703,-0.388099188,7.84E-06,0.070657937,0.780666773,0.591842635,0.512799606,0.152191425,0.492401936
AIF1,0.013224114,0.952705459,-0.518563243,1.99E-05,-0.01145918,0.95464094,0.643135514,0.512843612,-0.410007834,1.10E-06
CD86,-0.098130261,0.44534679,-0.049227652,0.808333388,0.202876778,0.022213095,0.651595362,0.512843612,0.705993614,4.42E-05
PHF2,-0.173036509,0.038392537,0.061233052,0.51759408,-0.140374918,0.157204871,0.528288262,0.512843612,-0.109558046,0.458105614
PSMB1,-0.136770496,0.200680034,0.072992508,0.563244787,0.125657959,0.4943411,0.704016082,0.512843612,0.022906824,0.938250798
PTPRD,0.726180046,0.145220951,0.054873904,0.628871827,-0.406544324,0.119835681,-0.752979665,0.513101917,0.182138372,0.244558103
XPNPEP1,-0.05551461,0.575717485,-0.074742222,0.427714907,-0.046054368,0.850682062,0.95984121,0.513101917,0.156281381,0.267085942
CSAD,-0.023290508,0.868678415,-0.548752625,0.00224771,0.075379848,0.839349919,-0.683865243,0.51319725,-0.361993683,0.010755133
TANK,0.397154909,8.99E-05,0.402366989,0.012073845,0.331746934,0.033656204,0.72580857,0.513210287,1.056957118,2.11E-05
WDR36,0.03759923,0.85126821,0.072412072,0.720440073,-0.080706976,0.467375443,0.653437313,0.513210287,0.097494131,0.473443786
PROM2,-0.041782859,0.786331026,-0.077316513,0.569382157,0.071360703,0.787230362,1.28121389,0.513512336,-0.068958048,0.386086864
ZC3H8,-0.073941474,0.756849278,-0.182987941,0.151102515,-0.095671609,0.60224599,-1.00091588,0.513512336,-0.664450643,4.35E-05
PCSK7,0.069275909,0.52859638,-0.175117288,0.054654455,-0.029441087,0.799775138,-0.60040159,0.513545207,0.243220746,0.04702774
DCTN1,-0.01763733,0.772776392,-0.136065922,0.167584327,-0.01683581,0.954816749,0.780243637,0.513585329,0.061370596,0.596758134
ABCF2,-0.03540863,0.901527055,0.275619126,0.143399659,0.045240572,0.83823683,0.759071811,0.51366834,0.32660675,0.130898631
BIN1,-0.149669892,0.044704769,-0.811318477,1.27E-06,-0.085778752,0.547820141,-0.56659923,0.51366834,-1.208782615,1.14E-07
HS6ST1,-0.006820163,0.971386835,-0.158567863,0.159070419,0.23571729,0.088202401,-0.695308321,0.51366834,-0.116909498,0.660915689
SCML4,-0.024196207,0.693072545,0.125242431,0.610029209,-0.003042065,0.982302791,0.887326489,0.51366834,-0.009192957,0.935805422
VPS26A,0.008172657,0.972103568,0.110406537,0.401845433,0.004941873,0.986697361,0.59795921,0.51366834,0.474013056,0.000113532
OLFR981,0.00976998,0.850733936,0.111808152,0.328605461,0.001599799,0.988342187,-1.953834759,0.51396996,0.00739926,0.936085539
RENBP,0.129070212,0.605518496,0.23828284,0.003283754,0.190355528,0.085424043,0.739030665,0.51396996,-0.408504981,0.000409407
THG1L,0.010274002,0.828990959,0.13598422,0.190361608,-0.070466755,0.32700622,1.210930129,0.51396996,0.078812207,0.285443106
ALG12,-0.080535939,0.694248079,-0.029112825,0.864949404,0.058269303,0.849233653,1.109045261,0.514308548,-0.064383107,0.71448666
PCF11,-0.051058231,0.73996967,0.020221611,0.931602149,0.03954508,0.9010412,-0.512789782,0.51462552,0.154890633,0.068902095
ARMC7,-0.060305451,0.716384955,-0.261615268,0.00128792,-0.044233262,0.903585654,-0.801798688,0.515071435,0.354802719,0.079125178
TCEB2,-0.050841508,0.89098896,0.193899989,0.172700624,0.175126091,0.400259865,0.947700172,0.515409972,0.09293483,0.718092678
SPC24,0.17682155,0.28327979,-0.052797666,0.865266276,0.007452388,0.945178153,-0.477216586,0.515492631,0.04424158,0.728894966
ZFP111,0.004838276,0.952610639,-0.399236253,0.001318905,-0.228776954,0.029360021,-0.730111144,0.515552726,-0.090651403,0.402266121
TIAM2,0.229780172,0.059128783,0.248886161,0.118088105,-0.024219133,0.920870581,-1.336304684,0.515968301,-0.040250926,0.533471491
KTI12,-0.095358115,0.602297245,-0.120445031,0.459391928,-0.139149359,0.54575186,-1.46368875,0.516052575,0.826584829,0.000178783
BSG,-0.029583189,0.587400578,0.612021597,0.004646974,-0.008844439,0.95640898,0.784855716,0.516804891,0.067637814,0.508417878
TMEM70,-0.296179916,0.227638561,-0.159026244,0.144640121,-0.235065096,0.088580504,0.798880991,0.516804891,-0.306788341,0.03628397
PLAC8,0.706730259,0.086181105,-0.455011157,0.683597701,0.150017613,0.110586503,-2.582891807,0.516977534,0.164700524,0.058555562
COPS6,0.064727298,0.737247779,0.072058622,0.606395257,-0.065715482,0.804728045,0.728402205,0.516980528,0.011173463,0.959737261
CFDP1,-0.072437795,0.498966104,0.058900967,0.610795337,0.017958208,0.960194661,0.764920748,0.517368418,0.173536223,0.393828112
TCN2,-0.111969616,0.349699174,-0.201519054,0.081320242,0.1429397,0.373596231,0.746327793,0.517368418,0.05435,0.74501992
ARRB1,-0.307122093,0.051277073,-0.623139471,1.10E-06,-0.216551292,0.027017122,-0.564993218,0.517480572,-0.925896704,1.20E-07
DUSP15,-0.02004197,0.947502542,0.239077102,0.009370396,0.079878817,0.83520344,-1.270777992,0.517480572,-0.007537347,0.970668527
NR1H2,0.052161959,0.804615689,0.109127757,0.59456305,-0.086083324,0.669657398,-0.697697261,0.517480572,0.065892421,0.543582797
LIMS2,-0.008814005,0.932629306,0.13662283,0.298407592,-0.180610464,0.328421255,-2.607524369,0.517747092,-0.677970487,5.48E-05
GTF2IRD2,-0.12214415,0.105550239,-0.269854341,0.010552588,-0.079256974,0.814156839,-0.701703748,0.51775895,0.325726873,0.010146565
LEPROTL1,-0.105263305,0.305461105,-0.07354106,0.653324207,-0.121164708,0.289843591,0.603936879,0.51775895,-0.102781549,0.340788899
SEC22B,-0.253051569,0.089453624,-0.075669048,0.426003202,-0.08384565,0.63856971,0.554930838,0.51775895,0.107566513,0.464148699
PPP2R2C,0.254085104,0.050054871,-0.481097893,0.004762185,-0.068473549,0.779427367,-1.051086429,0.518399353,0.056174192,0.789010787
PHKA1,0.042949595,0.428149035,-0.085902604,0.370559545,-0.141598784,0.227489776,-0.577155196,0.518914069,0.089206632,0.230579884
CCDC96,-0.019825428,0.743344679,0.01853882,0.888830053,-0.089348045,0.697671195,-0.906596041,0.519262894,0.342005445,0.019284566
NDEL1,-0.027036903,0.91240379,0.144612582,0.566990546,-0.008884977,0.982159196,0.578452137,0.519262894,1.02742955,4.01E-07
SUCLG2,-0.002567615,0.988559536,0.40476428,0.011321134,-0.062015404,0.783916883,0.658630204,0.519273054,-0.037060236,0.768426969
PICK1,-0.131886118,0.380402152,0.495420274,6.27E-05,-0.045035969,0.899760411,0.925051916,0.520012952,-0.231107827,0.045557444
BST2,0.230775733,0.478473867,0.604298547,5.11E-06,0.615280859,0.022812673,1.327289653,0.520490706,-0.019529882,0.969709631
MAL,0.012320402,0.888769181,0.469129475,0.017052137,-0.074274923,0.831336723,-1.094406069,0.520490706,0.108068405,0.784100295
TLR3,-0.37053835,0.041669405,-0.21561806,0.582398246,0.06308371,0.859335547,-0.55763813,0.520490706,0.049630858,0.825982872
USH1G,0.022278802,0.72362684,0.00568554,0.991265281,-0.038244418,0.611606323,1.430754821,0.520490706,0.10593415,0.108392927
AU021092,-0.026023856,0.926098377,0.021823289,0.858641267,0.100311501,0.529583627,2.787758367,0.520994228,-0.262770679,0.166668216
VPS35,0.059397123,0.776181555,-0.070581477,0.807668123,-0.044724724,0.766032297,0.63569097,0.521268876,-0.307402706,0.225754208
WDR44,-0.074870064,0.542141013,-0.391654321,0.199494697,-0.254728905,0.073599886,-0.612062294,0.521268876,-1.012992877,7.85E-07
CORO1C,0.345970001,0.08494756,0.851838499,2.18E-06,0.418324297,0.009948708,0.541709398,0.521328082,0.369538423,0.00021279
TOPBP1,-0.0297964,0.810673991,0.011473326,0.962973186,0.267831557,0.018779006,0.680800369,0.521328082,-0.015135401,0.932890112
EPHA5,0.007617034,0.861139129,-0.302902039,0.287173641,-0.062460212,0.549969675,0.591770719,0.521473944,0.025097779,0.748752258
PVRL2,0.093822818,0.465569737,0.205197134,0.289207365,0.020152739,0.9332542,-0.691951214,0.521473944,0.21632192,0.080320748
MAP2K6,0.00391944,0.968164824,-0.177072156,0.105789195,-0.089805094,0.584258899,-0.666324767,0.521725145,-0.320179311,0.055970644
MBD3,-0.09711256,0.407570001,-0.003018481,0.987562447,-0.008952952,0.967995823,0.978650393,0.521725145,0.043632296,0.58260644
CBFB,0.076240189,0.483144406,0.034494867,0.833586195,0.05344829,0.666348799,0.666271237,0.521820576,0.431798467,0.001365308
PPAPDC1A,-0.054678404,0.657120716,-0.043437411,0.626450498,-0.002302557,0.993830532,-2.140542287,0.521904955,-0.056313431,0.326235161
WRB,-0.03005056,0.816959075,0.031325415,0.86752771,-0.116121768,0.566579644,0.660161691,0.521967097,-0.357488085,0.001106539
NXT2,0.010213864,0.943151251,0.177331146,0.069078497,0.060957745,0.840683422,0.745989564,0.522271436,-0.111673867,0.642476475
SLC4A11,-0.091507676,0.667874944,0.573012205,0.000250401,-0.03671969,0.861892132,2.236869941,0.522286104,0.04040689,0.883420053
RAB21,0.279117626,0.004287537,0.14980683,0.227241977,-0.008780993,0.978221031,0.595332685,0.522632885,0.180919684,0.315651128
TBKBP1,0.101077983,0.507817658,-0.425521829,0.000812134,0.079329395,0.831692046,-0.820064365,0.523116149,-0.430280014,0.079597335
A830080D01RIK,-0.100338811,0.273836606,-0.040250746,0.927675394,-0.077214764,0.688176409,-0.649862059,0.523382316,0.067965616,0.679175751
