ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,
GO:0008306,associative learning,Jan-60,89/15833,0.287414446,0.35543861,0.246194247,Btg2,1,
GO:0043488,regulation of mRNA stability,Jan-60,89/15833,0.287414446,0.35543861,0.246194247,Zfp36,1,
GO:0042102,positive regulation of T cell proliferation,Jan-60,90/15833,0.290130092,0.357771851,0.247810364,Il1b,1,
GO:0043506,regulation of JUN kinase activity,Jan-60,90/15833,0.290130092,0.357771851,0.247810364,Il1b,1,
GO:0046939,nucleotide phosphorylation,Jan-60,90/15833,0.290130092,0.357771851,0.247810364,Ier3,1,
GO:0070585,protein localization to mitochondrion,Jan-60,90/15833,0.290130092,0.357771851,0.247810364,Hsp90aa1,1,
GO:0097061,dendritic spine organization,Jan-60,90/15833,0.290130092,0.357771851,0.247810364,Apoe,1,
GO:0043434,response to peptide hormone,Feb-60,284/15833,0.292545137,0.359874226,0.249266573,Lpl/Il1b,2,
GO:0002444,myeloid leukocyte mediated immunity,Jan-60,91/15833,0.292835561,0.359874226,0.249266573,Hmox1,1,
GO:0010660,regulation of muscle cell apoptotic process,Jan-60,91/15833,0.292835561,0.359874226,0.249266573,Hmox1,1,
GO:0019363,pyridine nucleotide biosynthetic process,Jan-60,91/15833,0.292835561,0.359874226,0.249266573,Ier3,1,
GO:0043473,pigmentation,Jan-60,91/15833,0.292835561,0.359874226,0.249266573,Cd63,1,
GO:0060998,regulation of dendritic spine development,Jan-60,91/15833,0.292835561,0.359874226,0.249266573,Apoe,1,
GO:0006140,regulation of nucleotide metabolic process,Jan-60,92/15833,0.29553089,0.361949864,0.250704261,Ier3,1,
GO:0009185,ribonucleoside diphosphate metabolic process,Jan-60,92/15833,0.29553089,0.361949864,0.250704261,Ier3,1,
GO:0010522,regulation of calcium ion transport into cytosol,Jan-60,92/15833,0.29553089,0.361949864,0.250704261,Cxcl10,1,
GO:0042158,lipoprotein biosynthetic process,Jan-60,92/15833,0.29553089,0.361949864,0.250704261,Apoe,1,
GO:0050848,regulation of calcium-mediated signaling,Jan-60,92/15833,0.29553089,0.361949864,0.250704261,Ccl4,1,
GO:1902749,regulation of cell cycle G2/M phase transition,Jan-60,92/15833,0.29553089,0.361949864,0.250704261,Ier3,1,
GO:0008344,adult locomotory behavior,Jan-60,93/15833,0.298216116,0.364824477,0.25269536,Id2,1,
GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,Jan-60,93/15833,0.298216116,0.364824477,0.25269536,Cd74,1,
GO:0008645,hexose transmembrane transport,Jan-60,94/15833,0.300891277,0.367472199,0.254529302,Il1b,1,
GO:0010595,positive regulation of endothelial cell migration,Jan-60,94/15833,0.300891277,0.367472199,0.254529302,Hmox1,1,
GO:1904659,glucose transmembrane transport,Jan-60,94/15833,0.300891277,0.367472199,0.254529302,Il1b,1,
GO:0018209,peptidyl-serine modification,Feb-60,291/15833,0.302381058,0.369082763,0.255644858,Ppp1r15a/Hsp90aa1,2,
GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,Jan-60,95/15833,0.303556409,0.369472494,0.255914805,Cxcl10,1,
GO:0010657,muscle cell apoptotic process,Jan-60,95/15833,0.303556409,0.369472494,0.255914805,Hmox1,1,
GO:0043266,regulation of potassium ion transport,Jan-60,95/15833,0.303556409,0.369472494,0.255914805,Cd63,1,
GO:0060840,artery development,Jan-60,95/15833,0.303556409,0.369472494,0.255914805,Apoe,1,
GO:0072525,pyridine-containing compound biosynthetic process,Jan-60,95/15833,0.303556409,0.369472494,0.255914805,Ier3,1,
GO:0015749,monosaccharide transmembrane transport,Jan-60,96/15833,0.306211551,0.371865237,0.257572137,Il1b,1,
GO:0031047,gene silencing by RNA,Jan-60,96/15833,0.306211551,0.371865237,0.257572137,Zfp36,1,
GO:0043487,regulation of RNA stability,Jan-60,96/15833,0.306211551,0.371865237,0.257572137,Zfp36,1,
GO:0045778,positive regulation of ossification,Jan-60,96/15833,0.306211551,0.371865237,0.257572137,Tmem119,1,
GO:0017015,regulation of transforming growth factor beta receptor signaling pathway,Jan-60,97/15833,0.308856738,0.374025163,0.259068207,Pmepa1,1,
GO:0034219,carbohydrate transmembrane transport,Jan-60,97/15833,0.308856738,0.374025163,0.259068207,Il1b,1,
GO:0050772,positive regulation of axonogenesis,Jan-60,97/15833,0.308856738,0.374025163,0.259068207,Apoe,1,
GO:0090100,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,Jan-60,97/15833,0.308856738,0.374025163,0.259068207,Vsir,1,
GO:1901654,response to ketone,Jan-60,97/15833,0.308856738,0.374025163,0.259068207,Spp1,1,
GO:0007569,cell aging,Jan-60,98/15833,0.311492007,0.376793582,0.260985751,Id2,1,
GO:0106027,neuron projection organization,Jan-60,98/15833,0.311492007,0.376793582,0.260985751,Apoe,1,
GO:0046879,hormone secretion,Feb-60,299/15833,0.31359684,0.37869572,0.262303264,Spp1/Il1b,2,
GO:0000077,DNA damage checkpoint,Jan-60,99/15833,0.314117395,0.37869572,0.262303264,Ier3,1,
GO:0006275,regulation of DNA replication,Jan-60,99/15833,0.314117395,0.37869572,0.262303264,Cst3,1,
GO:0034446,substrate adhesion-dependent cell spreading,Jan-60,99/15833,0.314117395,0.37869572,0.262303264,Axl,1,
GO:0090101,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,Jan-60,99/15833,0.314117395,0.37869572,0.262303264,Pmepa1,1,
GO:1903844,regulation of cellular response to transforming growth factor beta stimulus,Jan-60,99/15833,0.314117395,0.37869572,0.262303264,Pmepa1,1,
GO:0006090,pyruvate metabolic process,Jan-60,100/15833,0.316732938,0.381635779,0.264339694,Ier3,1,
GO:0002757,immune response-activating signal transduction,Feb-60,302/15833,0.317794179,0.382700802,0.265077381,Nfkbia/Tlr2,2,
GO:0002526,acute inflammatory response,Jan-60,101/15833,0.319338673,0.383704263,0.265772427,Il1b,1,
GO:0006413,translational initiation,Jan-60,101/15833,0.319338673,0.383704263,0.265772427,Ppp1r15a,1,
GO:0045446,endothelial cell differentiation,Jan-60,101/15833,0.319338673,0.383704263,0.265772427,Il1b,1,
GO:0048259,regulation of receptor-mediated endocytosis,Jan-60,101/15833,0.319338673,0.383704263,0.265772427,Cd63,1,
GO:0001892,embryonic placenta development,Jan-60,102/15833,0.321934635,0.385811306,0.267231869,Junb,1,
GO:0045185,maintenance of protein location,Jan-60,102/15833,0.321934635,0.385811306,0.267231869,Nfkbia,1,
GO:0051028,mRNA transport,Jan-60,102/15833,0.321934635,0.385811306,0.267231869,Zfp36,1,
GO:0009914,hormone transport,Feb-60,305/15833,0.321986173,0.385811306,0.267231869,Spp1/Il1b,2,
GO:1904062,regulation of cation transmembrane transport,Feb-60,305/15833,0.321986173,0.385811306,0.267231869,Cd63/Cxcl10,2,
GO:0008584,male gonad development,Jan-60,103/15833,0.324520861,0.388417093,0.269036765,H3f3b,1,
GO:1905330,regulation of morphogenesis of an epithelium,Jan-60,103/15833,0.324520861,0.388417093,0.269036765,Cxcl10,1,
GO:0022412,cellular process involved in reproduction in multicellular organism,Feb-60,308/15833,0.326172411,0.390177419,0.270256053,H3f3b/Tmem119,2,
GO:0007338,single fertilization,Jan-60,104/15833,0.327097387,0.390202411,0.270273364,H3f3b,1,
GO:0010927,cellular component assembly involved in morphogenesis,Jan-60,104/15833,0.327097387,0.390202411,0.270273364,Tlr2,1,
GO:0030282,bone mineralization,Jan-60,104/15833,0.327097387,0.390202411,0.270273364,Tmem119,1,
GO:0046546,development of primary male sexual characteristics,Jan-60,104/15833,0.327097387,0.390202411,0.270273364,H3f3b,1,
GO:0060349,bone morphogenesis,Jan-60,104/15833,0.327097387,0.390202411,0.270273364,Tmem119,1,
GO:0009132,nucleoside diphosphate metabolic process,Jan-60,105/15833,0.329664248,0.392180511,0.271643493,Ier3,1,
GO:0030516,regulation of axon extension,Jan-60,105/15833,0.329664248,0.392180511,0.271643493,Apoe,1,
GO:0051963,regulation of synapse assembly,Jan-60,105/15833,0.329664248,0.392180511,0.271643493,Tlr2,1,
GO:0090305,nucleic acid phosphodiester bond hydrolysis,Jan-60,105/15833,0.329664248,0.392180511,0.271643493,Zfp36,1,
GO:1900006,positive regulation of dendrite development,Jan-60,105/15833,0.329664248,0.392180511,0.271643493,Apoe,1,
GO:0032092,positive regulation of protein binding,Jan-60,106/15833,0.33222148,0.395004933,0.273599827,Apoe,1,
GO:0002764,immune response-regulating signaling pathway,Feb-60,314/15833,0.334526015,0.396722547,0.27478953,Nfkbia/Tlr2,2,
GO:0001889,liver development,Jan-60,107/15833,0.334769118,0.396722547,0.27478953,Hmox1,1,
GO:0046632,alpha-beta T cell differentiation,Jan-60,107/15833,0.334769118,0.396722547,0.27478953,Cd83,1,
GO:0046822,regulation of nucleocytoplasmic transport,Jan-60,107/15833,0.334769118,0.396722547,0.27478953,Ier3,1,
GO:0051209,release of sequestered calcium ion into cytosol,Jan-60,107/15833,0.334769118,0.396722547,0.27478953,Cxcl10,1,
GO:0090090,negative regulation of canonical Wnt signaling pathway,Jan-60,107/15833,0.334769118,0.396722547,0.27478953,Apoe,1,
GO:0000086,G2/M transition of mitotic cell cycle,Jan-60,108/15833,0.337307199,0.39863578,0.27611473,Ier3,1,
GO:0003279,cardiac septum development,Jan-60,108/15833,0.337307199,0.39863578,0.27611473,Id2,1,
GO:0006997,nucleus organization,Jan-60,108/15833,0.337307199,0.39863578,0.27611473,H3f3b,1,
GO:0031497,chromatin assembly,Jan-60,108/15833,0.337307199,0.39863578,0.27611473,H3f3b,1,
GO:0048565,digestive tract development,Jan-60,108/15833,0.337307199,0.39863578,0.27611473,Id2,1,
GO:0008637,apoptotic mitochondrial changes,Jan-60,109/15833,0.339835756,0.400527342,0.277424918,Ier3,1,
GO:0031570,DNA integrity checkpoint,Jan-60,109/15833,0.339835756,0.400527342,0.277424918,Ier3,1,
GO:0042752,regulation of circadian rhythm,Jan-60,109/15833,0.339835756,0.400527342,0.277424918,Id2,1,
GO:0051283,negative regulation of sequestering of calcium ion,Jan-60,109/15833,0.339835756,0.400527342,0.277424918,Cxcl10,1,
GO:2000045,regulation of G1/S transition of mitotic cell cycle,Jan-60,109/15833,0.339835756,0.400527342,0.277424918,Id2,1,
GO:0006282,regulation of DNA repair,Jan-60,110/15833,0.342354826,0.402397448,0.278720246,Ier3,1,
GO:0008286,insulin receptor signaling pathway,Jan-60,110/15833,0.342354826,0.402397448,0.278720246,Il1b,1,
GO:0051282,regulation of sequestering of calcium ion,Jan-60,110/15833,0.342354826,0.402397448,0.278720246,Cxcl10,1,
GO:0061008,hepaticobiliary system development,Jan-60,110/15833,0.342354826,0.402397448,0.278720246,Hmox1,1,
GO:1901136,carbohydrate derivative catabolic process,Jan-60,110/15833,0.342354826,0.402397448,0.278720246,Cst3,1,
GO:0007601,visual perception,Jan-60,111/15833,0.344864443,0.404466016,0.280153038,Crybb1,1,
GO:0010565,regulation of cellular ketone metabolic process,Jan-60,111/15833,0.344864443,0.404466016,0.280153038,Il1b,1,
GO:0043467,regulation of generation of precursor metabolites and energy,Jan-60,111/15833,0.344864443,0.404466016,0.280153038,Ier3,1,
GO:0051208,sequestering of calcium ion,Jan-60,111/15833,0.344864443,0.404466016,0.280153038,Cxcl10,1,
GO:0006754,ATP biosynthetic process,Jan-60,112/15833,0.347364643,0.40673516,0.281724758,Ier3,1,
GO:0034763,negative regulation of transmembrane transport,Jan-60,112/15833,0.347364643,0.40673516,0.281724758,Il1b,1,
GO:0046660,female sex differentiation,Jan-60,112/15833,0.347364643,0.40673516,0.281724758,Axl,1,
GO:1902903,regulation of supramolecular fiber organization,Feb-60,324/15833,0.348385577,0.407709368,0.282399543,Apoe/Tlr2,2,
GO:0010921,regulation of phosphatase activity,Jan-60,114/15833,0.352336927,0.41188683,0.285293058,Ppp1r15a,1,
GO:0031623,receptor internalization,Jan-60,114/15833,0.352336927,0.41188683,0.285293058,Cd63,1,
GO:0050953,sensory perception of light stimulus,Jan-60,115/15833,0.35480908,0.414552244,0.287139255,Crybb1,1,
GO:0150063,visual system development,Feb-60,329/15833,0.355282225,0.414880434,0.287366575,Crybb1/P2ry12,2,
GO:0048880,sensory system development,Feb-60,330/15833,0.356658697,0.416262558,0.288323902,Crybb1/P2ry12,2,
GO:0008277,regulation of G protein-coupled receptor signaling pathway,Jan-60,116/15833,0.357271954,0.416527757,0.288507592,Rgs1,1,
GO:0030183,B cell differentiation,Jan-60,116/15833,0.357271954,0.416527757,0.288507592,Id2,1,
GO:0009166,nucleotide catabolic process,Jan-60,118/15833,0.362170001,0.42178244,0.292147244,Ier3,1,
GO:0061041,regulation of wound healing,Jan-60,118/15833,0.362170001,0.42178244,0.292147244,Apoe,1,
GO:0000723,telomere maintenance,Jan-60,119/15833,0.364605241,0.423703883,0.293478129,Hsp90aa1,1,
GO:0016064,immunoglobulin mediated immune response,Jan-60,119/15833,0.364605241,0.423703883,0.293478129,Cd74,1,
GO:0032273,positive regulation of protein polymerization,Jan-60,119/15833,0.364605241,0.423703883,0.293478129,Hsp90aa1,1,
GO:0055123,digestive system development,Jan-60,119/15833,0.364605241,0.423703883,0.293478129,Id2,1,
GO:0061387,regulation of extent of cell growth,Jan-60,120/15833,0.367031338,0.426293664,0.295271939,Apoe,1,
GO:0003231,cardiac ventricle development,Jan-60,121/15833,0.369448325,0.427490341,0.296100816,Id2,1,
GO:0007292,female gamete generation,Jan-60,121/15833,0.369448325,0.427490341,0.296100816,H3f3b,1,
GO:0010811,positive regulation of cell-substrate adhesion,Jan-60,121/15833,0.369448325,0.427490341,0.296100816,Spp1,1,
GO:0060996,dendritic spine development,Jan-60,121/15833,0.369448325,0.427490341,0.296100816,Apoe,1,
GO:0099175,regulation of postsynapse organization,Jan-60,121/15833,0.369448325,0.427490341,0.296100816,Apoe,1,
GO:1990823,response to leukemia inhibitory factor,Jan-60,121/15833,0.369448325,0.427490341,0.296100816,Spp1,1,
GO:1990830,cellular response to leukemia inhibitory factor,Jan-60,121/15833,0.369448325,0.427490341,0.296100816,Spp1,1,
GO:0015711,organic anion transport,Feb-60,341/15833,0.371732468,0.429126074,0.297233805,Apoe/Il1b,2,
GO:0044772,mitotic cell cycle phase transition,Feb-60,341/15833,0.371732468,0.429126074,0.297233805,Ier3/Id2,2,
GO:0051260,protein homooligomerization,Feb-60,341/15833,0.371732468,0.429126074,0.297233805,Apoe/Hmox1,2,
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,Jan-60,122/15833,0.371856236,0.429126074,0.297233805,Ier3,1,
GO:0019724,B cell mediated immunity,Jan-60,122/15833,0.371856236,0.429126074,0.297233805,Cd74,1,
GO:0016311,dephosphorylation,Feb-60,342/15833,0.373096375,0.430327086,0.298065686,Dusp1/Ppp1r15a,2,
GO:0003206,cardiac chamber morphogenesis,Jan-60,123/15833,0.374255105,0.430742675,0.298353543,Id2,1,
GO:0009145,purine nucleoside triphosphate biosynthetic process,Jan-60,123/15833,0.374255105,0.430742675,0.298353543,Ier3,1,
GO:0097553,calcium ion transmembrane import into cytosol,Jan-60,123/15833,0.374255105,0.430742675,0.298353543,Cxcl10,1,
GO:1902806,regulation of cell cycle G1/S phase transition,Jan-60,123/15833,0.374255105,0.430742675,0.298353543,Id2,1,
GO:0007093,mitotic cell cycle checkpoint,Jan-60,124/15833,0.376644964,0.432800763,0.299779076,Ier3,1,
GO:0016052,carbohydrate catabolic process,Jan-60,124/15833,0.376644964,0.432800763,0.299779076,Ier3,1,
GO:0046661,male sex differentiation,Jan-60,124/15833,0.376644964,0.432800763,0.299779076,H3f3b,1,
GO:0009201,ribonucleoside triphosphate biosynthetic process,Jan-60,125/15833,0.379025848,0.434841988,0.301192929,Ier3,1,
GO:0030177,positive regulation of Wnt signaling pathway,Jan-60,125/15833,0.379025848,0.434841988,0.301192929,Tlr2,1,
GO:0044839,cell cycle G2/M phase transition,Jan-60,125/15833,0.379025848,0.434841988,0.301192929,Ier3,1,
GO:0001837,epithelial to mesenchymal transition,Jan-60,126/15833,0.381397789,0.437330727,0.302916752,Il1b,1,
GO:0030509,BMP signaling pathway,Jan-60,127/15833,0.38376082,0.439573169,0.304469977,Vsir,1,
GO:1903900,regulation of viral life cycle,Jan-60,127/15833,0.38376082,0.439573169,0.304469977,Cd74,1,
GO:0007286,spermatid development,Jan-60,128/15833,0.386114975,0.441566569,0.305850704,H3f3b,1,
GO:0030879,mammary gland development,Jan-60,128/15833,0.386114975,0.441566569,0.305850704,Id2,1,
GO:1901292,nucleoside phosphate catabolic process,Jan-60,128/15833,0.386114975,0.441566569,0.305850704,Ier3,1,
GO:0006338,chromatin remodeling,Jan-60,129/15833,0.388460285,0.443308988,0.307057589,H3f3b,1,
GO:0010951,negative regulation of endopeptidase activity,Jan-60,129/15833,0.388460285,0.443308988,0.307057589,Cst7,1,
GO:0072089,stem cell proliferation,Jan-60,129/15833,0.388460285,0.443308988,0.307057589,Cx3cr1,1,
GO:0090288,negative regulation of cellular response to growth factor stimulus,Jan-60,129/15833,0.388460285,0.443308988,0.307057589,Pmepa1,1,
GO:0072594,establishment of protein localization to organelle,Feb-60,354/15833,0.389372672,0.444115341,0.307616109,Nfkbia/Hsp90aa1,2,
GO:0010821,regulation of mitochondrion organization,Jan-60,130/15833,0.390796785,0.444799294,0.308089848,Ier3,1,
GO:0031099,regeneration,Jan-60,130/15833,0.390796785,0.444799294,0.308089848,Hmox1,1,
GO:0050680,negative regulation of epithelial cell proliferation,Jan-60,130/15833,0.390796785,0.444799294,0.308089848,Apoe,1,
GO:0062013,positive regulation of small molecule metabolic process,Jan-60,130/15833,0.390796785,0.444799294,0.308089848,Il1b,1,
GO:0006333,chromatin assembly or disassembly,Jan-60,131/15833,0.393124505,0.446741802,0.309435324,H3f3b,1,
GO:0008643,carbohydrate transport,Jan-60,131/15833,0.393124505,0.446741802,0.309435324,Il1b,1,
GO:0009267,cellular response to starvation,Jan-60,131/15833,0.393124505,0.446741802,0.309435324,Atf3,1,
GO:0006865,amino acid transport,Jan-60,132/15833,0.395443479,0.448196968,0.310443244,Il1b,1,
GO:0035023,regulation of Rho protein signal transduction,Jan-60,132/15833,0.395443479,0.448196968,0.310443244,Apoe,1,
GO:0035296,regulation of tube diameter,Jan-60,132/15833,0.395443479,0.448196968,0.310443244,Apoe,1,
GO:0046887,positive regulation of hormone secretion,Jan-60,132/15833,0.395443479,0.448196968,0.310443244,Spp1,1,
GO:0097746,regulation of blood vessel diameter,Jan-60,132/15833,0.395443479,0.448196968,0.310443244,Apoe,1,
GO:0009127,purine nucleoside monophosphate biosynthetic process,Jan-60,133/15833,0.397753739,0.450342376,0.311929259,Ier3,1,
GO:0009168,purine ribonucleoside monophosphate biosynthetic process,Jan-60,133/15833,0.397753739,0.450342376,0.311929259,Ier3,1,
GO:0051053,negative regulation of DNA metabolic process,Jan-60,134/15833,0.400055317,0.451999672,0.313077184,Dusp1,1,
GO:0071772,response to BMP,Jan-60,134/15833,0.400055317,0.451999672,0.313077184,Vsir,1,
GO:0071773,cellular response to BMP stimulus,Jan-60,134/15833,0.400055317,0.451999672,0.313077184,Vsir,1,
GO:1901991,negative regulation of mitotic cell cycle phase transition,Jan-60,134/15833,0.400055317,0.451999672,0.313077184,Ier3,1,
GO:0010675,regulation of cellular carbohydrate metabolic process,Jan-60,135/15833,0.402348245,0.453877425,0.314377807,Ier3,1,
GO:0030178,negative regulation of Wnt signaling pathway,Jan-60,135/15833,0.402348245,0.453877425,0.314377807,Apoe,1,
GO:2001251,negative regulation of chromosome organization,Jan-60,135/15833,0.402348245,0.453877425,0.314377807,H3f3b,1,
GO:0009142,nucleoside triphosphate biosynthetic process,Jan-60,136/15833,0.404632556,0.455977574,0.315832474,Ier3,1,
GO:0071383,cellular response to steroid hormone stimulus,Jan-60,136/15833,0.404632556,0.455977574,0.315832474,Zfp36,1,
GO:0009314,response to radiation,Feb-60,367/15833,0.406802147,0.457586278,0.316946742,Junb/Id2,2,
GO:0001824,blastocyst development,Jan-60,137/15833,0.40690828,0.457586278,0.316946742,Junb,1,
GO:0009156,ribonucleoside monophosphate biosynthetic process,Jan-60,137/15833,0.40690828,0.457586278,0.316946742,Ier3,1,
GO:0010634,positive regulation of epithelial cell migration,Jan-60,137/15833,0.40690828,0.457586278,0.316946742,Hmox1,1,
GO:0019933,cAMP-mediated signaling,Jan-60,138/15833,0.40917545,0.459263172,0.318108241,Cxcl10,1,
GO:0030010,establishment of cell polarity,Jan-60,138/15833,0.40917545,0.459263172,0.318108241,Hsp90aa1,1,
GO:0045017,glycerolipid biosynthetic process,Jan-60,138/15833,0.40917545,0.459263172,0.318108241,Lpl,1,
GO:0006914,autophagy,Feb-60,369/15833,0.409463551,0.459263172,0.318108241,Tlr2/Hmox1,2,
GO:0061919,process utilizing autophagic mechanism,Feb-60,369/15833,0.409463551,0.459263172,0.318108241,Tlr2/Hmox1,2,
GO:0046496,nicotinamide nucleotide metabolic process,Jan-60,139/15833,0.411434098,0.461233654,0.319473093,Ier3,1,
GO:0006606,protein import into nucleus,Jan-60,140/15833,0.413684254,0.463034554,0.320720485,Nfkbia,1,
GO:0009566,fertilization,Jan-60,140/15833,0.413684254,0.463034554,0.320720485,H3f3b,1,
GO:0051302,regulation of cell division,Jan-60,140/15833,0.413684254,0.463034554,0.320720485,Il1b,1,
GO:0019362,pyridine nucleotide metabolic process,Jan-60,141/15833,0.415925951,0.465061244,0.322124271,Ier3,1,
GO:1903169,regulation of calcium ion transmembrane transport,Jan-60,141/15833,0.415925951,0.465061244,0.322124271,Cxcl10,1,
GO:0009124,nucleoside monophosphate biosynthetic process,Jan-60,142/15833,0.418159219,0.466109295,0.322850202,Ier3,1,
GO:0010950,positive regulation of endopeptidase activity,Jan-60,142/15833,0.418159219,0.466109295,0.322850202,Vsir,1,
GO:0050657,nucleic acid transport,Jan-60,142/15833,0.418159219,0.466109295,0.322850202,Zfp36,1,
GO:0050658,RNA transport,Jan-60,142/15833,0.418159219,0.466109295,0.322850202,Zfp36,1,
GO:0060402,calcium ion transport into cytosol,Jan-60,142/15833,0.418159219,0.466109295,0.322850202,Cxcl10,1,
GO:1904064,positive regulation of cation transmembrane transport,Jan-60,142/15833,0.418159219,0.466109295,0.322850202,Cxcl10,1,
GO:0044770,cell cycle phase transition,Feb-60,377/15833,0.420052978,0.467864294,0.3240658,Ier3/Id2,2,
GO:0035150,regulation of tube size,Jan-60,143/15833,0.42038409,0.467864294,0.3240658,Apoe,1,
GO:0050880,regulation of blood vessel size,Jan-60,143/15833,0.42038409,0.467864294,0.3240658,Apoe,1,
GO:0006323,DNA packaging,Jan-60,144/15833,0.422600594,0.468639302,0.324602609,H3f3b,1,
GO:0008360,regulation of cell shape,Jan-60,144/15833,0.422600594,0.468639302,0.324602609,Ccl3,1,
GO:0009913,epidermal cell differentiation,Jan-60,144/15833,0.422600594,0.468639302,0.324602609,Zfp36,1,
GO:0043271,negative regulation of ion transport,Jan-60,144/15833,0.422600594,0.468639302,0.324602609,Il1b,1,
GO:0051170,import into nucleus,Jan-60,144/15833,0.422600594,0.468639302,0.324602609,Nfkbia,1,
GO:0051494,negative regulation of cytoskeleton organization,Jan-60,144/15833,0.422600594,0.468639302,0.324602609,Tlr2,1,
GO:2000058,regulation of ubiquitin-dependent protein catabolic process,Jan-60,144/15833,0.422600594,0.468639302,0.324602609,Rpl23,1,
GO:0051236,establishment of RNA localization,Jan-60,145/15833,0.424808763,0.470846076,0.326131129,Zfp36,1,
GO:0072524,pyridine-containing compound metabolic process,Jan-60,146/15833,0.427008628,0.473041385,0.327651708,Ier3,1,
GO:0030833,regulation of actin filament polymerization,Jan-60,148/15833,0.431383566,0.477397813,0.330669184,Tlr2,1,
GO:0051291,protein heterooligomerization,Jan-60,148/15833,0.431383566,0.477397813,0.330669184,Cd74,1,
GO:0051606,detection of stimulus,Jan-60,149/15833,0.4335587,0.479559034,0.332166152,Tlr2,1,
GO:0031644,regulation of neurological system process,Jan-60,150/15833,0.435725652,0.481462344,0.333484478,Cst7,1,
GO:1901988,negative regulation of cell cycle phase transition,Jan-60,150/15833,0.435725652,0.481462344,0.333484478,Ier3,1,
GO:0048732,gland development,Feb-60,390/15833,0.43706055,0.482690209,0.334334957,Id2/Hmox1,2,
GO:0007088,regulation of mitotic nuclear division,Jan-60,151/15833,0.437884452,0.483105648,0.334622711,Il1b,1,
GO:0010952,positive regulation of peptidase activity,Jan-60,151/15833,0.437884452,0.483105648,0.334622711,Vsir,1,
GO:0015672,monovalent inorganic cation transport,Feb-60,391/15833,0.438358164,0.483381153,0.33481354,Cd63/P2ry12,2,
GO:0030534,adult behavior,Jan-60,152/15833,0.44003513,0.484487659,0.33557996,Id2,1,
GO:0034404,nucleobase-containing small molecule biosynthetic process,Jan-60,152/15833,0.44003513,0.484487659,0.33557996,Ier3,1,
GO:0050796,regulation of insulin secretion,Jan-60,152/15833,0.44003513,0.484487659,0.33557996,Il1b,1,
GO:0035303,regulation of dephosphorylation,Jan-60,154/15833,0.444312241,0.488449218,0.33832393,Ppp1r15a,1,
GO:0060401,cytosolic calcium ion transport,Jan-60,154/15833,0.444312241,0.488449218,0.33832393,Cxcl10,1,
GO:1903034,regulation of response to wounding,Jan-60,154/15833,0.444312241,0.488449218,0.33832393,Apoe,1,
GO:0034767,positive regulation of ion transmembrane transport,Jan-60,155/15833,0.446438732,0.490537059,0.339770072,Cxcl10,1,
GO:0006575,cellular modified amino acid metabolic process,Jan-60,156/15833,0.448557222,0.492613987,0.341208654,Ckb,1,
GO:0006733,oxidoreduction coenzyme metabolic process,Jan-60,157/15833,0.450667738,0.494428561,0.342465517,Ier3,1,
GO:0045931,positive regulation of mitotic cell cycle,Jan-60,157/15833,0.450667738,0.494428561,0.342465517,Il1b,1,
GO:0007416,synapse assembly,Jan-60,158/15833,0.452770311,0.496482892,0.343888448,Tlr2,1,
GO:0022613,ribonucleoprotein complex biogenesis,Feb-60,403/15833,0.453805988,0.497365831,0.344500015,Rpl10a/Hsp90aa1,2,
GO:0065004,protein-DNA complex assembly,Jan-60,159/15833,0.45486497,0.498273404,0.345128644,H3f3b,1,
GO:0006109,regulation of carbohydrate metabolic process,Jan-60,160/15833,0.456951745,0.500051656,0.346360349,Ier3,1,
GO:2001242,regulation of intrinsic apoptotic signaling pathway,Jan-60,160/15833,0.456951745,0.500051656,0.346360349,Cd74,1,
GO:0001659,temperature homeostasis,Jan-60,161/15833,0.459030664,0.502072059,0.347759779,Il1b,1,
GO:0006479,protein methylation,Jan-60,162/15833,0.461101756,0.503688526,0.348879424,Btg2,1,
GO:0008213,protein alkylation,Jan-60,162/15833,0.461101756,0.503688526,0.348879424,Btg2,1,
GO:0032386,regulation of intracellular transport,Feb-60,409/15833,0.461442176,0.503688526,0.348879424,Ier3/Hmox1,2,
GO:0034765,regulation of ion transmembrane transport,Feb-60,409/15833,0.461442176,0.503688526,0.348879424,Cd63/Cxcl10,2,
GO:0030041,actin filament polymerization,Jan-60,163/15833,0.463165051,0.505058201,0.349828128,Tlr2,1,
GO:0042180,cellular ketone metabolic process,Jan-60,163/15833,0.463165051,0.505058201,0.349828128,Il1b,1,
GO:0003205,cardiac chamber development,Jan-60,164/15833,0.465220577,0.506276352,0.350671879,Id2,1,
GO:0008064,regulation of actin polymerization or depolymerization,Jan-60,164/15833,0.465220577,0.506276352,0.350671879,Tlr2,1,
GO:0009743,response to carbohydrate,Jan-60,164/15833,0.465220577,0.506276352,0.350671879,Il1b,1,
GO:0051262,protein tetramerization,Jan-60,164/15833,0.465220577,0.506276352,0.350671879,Cd74,1,
GO:0007219,Notch signaling pathway,Jan-60,165/15833,0.467268364,0.507992508,0.351860573,Nfkbia,1,
